Movie Name,Overview,Release Date,Poster URL,Genre IDs,Genres
Yeh Jawaani Hai Deewani,"On a trekking trip, an introverted Naina falls for a charming ex-classmate, whose thirst for adventure drives them apart. Years later, their paths cross again.",2013-05-31,https://image.tmdb.org/t/p/w500/em39H81XLCDgXsI7V4IcBZseEO6.jpg,"[10749, 35]","['Romance', 'Comedy']"
Tumbbad,"India, 1918. On the outskirts of Tumbbad, a cursed village where it always rains, Vinayak, along with his mother and his brother, care of a mysterious old woman who keeps the secret of an ancestral treasure that Vinayak gets obsessed with.",2018-10-12,https://image.tmdb.org/t/p/w500/6qeRFImDskoIRkSCFatqeM2rM3k.jpg,"[14, 27]","['Fantasy', 'Horror']"
Sharada,"After Shekhar (Raj Kapoor) falls for beautiful Sharada (Meena Kumari), he makes her promise that she'll wait for him while he goes abroad on a business trip. But when Shekhar's plane goes down in flames, Sharada finds comfort in the arms of another man, not knowing that he's Shekhar's widowed father (Raj Mehra). Trouble is, Shekhar survived the crash and soon returns home, only to discover that Sharada has become … his mother!",1957-02-23,https://image.tmdb.org/t/p/w500/abPREFRYeNmKVPAoCzZMnLUQMtp.jpg,"[10749, 18]","['Romance', 'Drama']"
3 Idiots,"Rascal. Joker. Dreamer. Genius... You've never met a college student quite like ""Rancho."" From the moment he arrives at India's most prestigious university, Rancho's outlandish schemes turn the campus upside down—along with the lives of his two newfound best friends. Together, they make life miserable for ""Virus,"" the school’s uptight and heartless dean. But when Rancho catches the eye of the dean's daughter, Virus sets his sights on flunking out the ""3 idiots"" once and for all.",2009-12-23,https://image.tmdb.org/t/p/w500/66A9MqXOyVFCssoloscw79z8Tew.jpg,"[18, 35]","['Drama', 'Comedy']"
Gupt: The Hidden Truth,"When Governor Jaisingh Sinha is murdered, the needle of suspicion points towards his estranged step-son, Sahil. Now Sahil must prove his innocence and find out who the real killer is.",1997-07-04,https://image.tmdb.org/t/p/w500/cTRAfzb2p2bAD3QnM34mzE9mp1n.jpg,"[53, 28, 10749]","['Thriller', 'Action', 'Romance']"
Housefull 5,"A father writes his will — his son ""Jolly"" is going to get it all. But who is Jolly? The comedy unfolds as different people pose as the ""real"" Jolly on a cruise celebrating the father's birthday — where a murder takes place.",2025-06-05,https://image.tmdb.org/t/p/w500/iGvGkVOfsooO0ZBrhN5i6zXYUCy.jpg,"[35, 9648, 53]","['Comedy', 'Mystery', 'Thriller']"
Baaghi,"Ronny is a rebellious man, who falls in love with Sia but circumstances separate them. Years later, Ronny learns that Sia is abducted by a martial arts champion, Raghav.",2016-04-29,https://image.tmdb.org/t/p/w500/h6Jb94F5C9JCVzu6a8qPSPjaD6P.jpg,"[28, 53, 10749, 12]","['Action', 'Thriller', 'Romance', 'Adventure']"
Bade Miyan Chote Miyan,Two elite soldiers with troubled pasts are enlisted for a daring mission when a deadly masked madman threatens India's defenses.,2024-04-11,https://image.tmdb.org/t/p/w500/ote8HmQOgmoAfqFaqVKsEdgD2q4.jpg,"[28, 878, 53]","['Action', 'Science Fiction', 'Thriller']"
GGS - Ganteng-Ganteng Sange,Kelas Bintang is back with this pack of drama called GGS - Ganteng-Ganteng Sange.,2023-05-28,https://image.tmdb.org/t/p/w500/39fFH027tOpTyZwSNOydSAsOCzb.jpg,"[18, 10749]","['Drama', 'Romance']"
Simmba,A corrupt police officer enjoys all the perks of being an immoral and unethical police officer until an event which transforms his life completely and forces him to choose the righteous path.,2018-12-28,https://image.tmdb.org/t/p/w500/ulQO4XJ1xlWdl4vX8Lr3SbWRfZw.jpg,"[28, 35, 80, 18]","['Action', 'Comedy', 'Crime', 'Drama']"
